state,primary_com_name,sci_name
Alabama,Yellowhammer (northern flicker),Colaptes auratus
Alaska,Willow ptarmigan,Lagopus lagopus
Arizona,Cactus wren,Campylorhynchus brunneicapillus
Arkansas,Northern mockingbird,Mimus polyglottos
California,California quail,Callipepla californica
Colorado,Lark bunting,Calamospiza melanocorys
Connecticut,American robin,Turdus migratorius
Delaware,Delaware Blue Hen,Gallus gallus
District of Columbia,Wood thrush,Hylocichla mustelina
Florida,Northern mockingbird,Mimus polyglottos
Georgia,Brown thrasher,Toxostoma rufum
Hawaii,Hawaiian goose (nene),Branta sandvicensis
Idaho,Mountain bluebird,Sialia currucoides
Illinois,Northern cardinal,Cardinalis cardinalis
Indiana,Northern cardinal,Cardinalis cardinalis
Iowa,Eastern goldfinch (American goldfinch),Spinus tristis
Kansas,Western meadowlark,Sturnella neglecta
Kentucky,Northern cardinal,Cardinalis cardinalis
Louisiana,Brown pelican,Pelecanus occidentalis
Maine,Chickadee,Parus atricapillus
Maryland,Baltimore oriole,Icterus galbula
Massachusetts,Black-capped chickadee,Poecile atricapilla
Michigan,American robin,Turdus migratorius
Minnesota,Common loon,Gavia immer
Mississippi,Northern mockingbird,Mimus polyglottos
Missouri,Eastern bluebird,Sialia sialis
Montana,Western meadowlark,Sturnella neglecta
Nebraska,Western meadowlark,Sturnella neglecta
Nevada,Mountain bluebird,Sialia currucoides
New Hampshire,Purple finch,Carpodacus purpureus
New Jersey,Eastern goldfinch (American goldfinch),Spinus tristis
New Mexico,Greater roadrunner,Geococcyx californianus
New York,Eastern bluebird,Sialia sialis
North Carolina,Northern cardinal,Cardinalis cardinalis
North Dakota,Western meadowlark,Sturnella neglecta
Ohio,Northern cardinal,Cardinalis cardinalis
Oklahoma,Scissor-tailed flycatcher,Tyrannus forficatus
Oregon,Western meadowlark,Sturnella neglecta
Pennsylvania,Ruffed grouse[b],Bonasa umbellus
Rhode Island,Rhode Island Red,Gallus gallus
South Carolina,Carolina wren,Thryothorus ludovicianus
South Dakota,Ring-necked pheasant,Phasianus colchicus
Tennessee,Northern mockingbird,Mimus polyglottos
Texas,Northern mockingbird,Mimus polyglottos
Utah,California gull,Larus californicus
Vermont,Hermit thrush,Catharus guttatus
Virginia,Northern cardinal,Cardinalis cardinalis
Washington,Willow goldfinch (American goldfinch),Spinus tristis
West Virginia,Northern cardinal,Cardinalis cardinalis
Wisconsin,American robin,Turdus migratorius
Wyoming,Western meadowlark,Sturnella neglecta
